"Campaign name","Ad set name","Delivery status","Delivery level",Reach,Impressions,Frequency,"Result type",Results,"Cost per result","Amount spent (USD)","CPM (cost per 1,000 impressions)","Link clicks","CPC (cost per link click)","CTR (link click-through rate)","Reporting starts","Reporting ends"
"SEO - DFY - NEW LINES","DFY-BKN435 - Simply Put: new lines  | J&J- BROKEN KITCHEN | Property finder (property) (M) 24/10",active,adset,884,1051,1.18891403,"Website applications submitted",2,34.45,68.9,65.55661275,17,4.05294118,1.61750714,2025-12-20,2025-12-20
"SEO - DFY - NEW LINES","DFY-BKN436 - Simply Put: new lines  | J Pointing at screen & J in KITCHEN   |1 - Property investing + Real estate Narrow Landlord (M) 24/10 –",active,adset,699,823,1.17739628,"Website applications submitted",2,31.475,62.95,76.48845687,9,6.99444444,1.09356015,2025-12-20,2025-12-20
"SEO - DFY - NEW LINES","DFY-BKN437 - Stop Chasing Motivated Seller Leads! | N1-RANKING-WEBSITE, RIDE | 5 - Property investing + Real estate investment association + Real propert Narrow Household income: top 10% (M) 07/09",active,adset,273,295,1.08058608,"Website applications submitted",2,29.725,59.45,201.52542373,7,8.49285714,2.37288136,2025-12-20,2025-12-20
"SEO - DFY - NEW LINES","DFY-BKN420 | I Hear It All The Time | 3 minutes BPCON2021, Alex Review Video |  Lookalike(US,3%-4%)-340-ROWS  – 09/30 –",active,adset,816,977,1.19730392,,,,85.91,87.93244626,7,12.27285714,0.71647902,2025-12-20,2025-12-20
"SEO - DFY - NEW LINES","DFY-BKN423 | PPL Original, new lines | 3 minutes BPCON2021 - N1-RANKING-WEBSITE |  Property-investing+Real estate investment association+Real-property-Narrow-Household-income:top10%-(M)  – 09/30 –",active,adset,465,520,1.11827957,,,,58.76,113,7,8.39428571,1.34615385,2025-12-20,2025-12-20
