"Campaign name","Ad set name","Delivery status","Delivery level",Reach,Impressions,Frequency,"Result type",Results,"Cost per result","Amount spent (USD)","CPM (cost per 1,000 impressions)","Link clicks","CPC (cost per link click)","CTR (link click-through rate)","Reporting starts","Reporting ends"
"SEO - DFY - NEW LINES","DFY-BKN420 | I Hear It All The Time | 3 minutes BPCON2021, Alex Review Video |  Lookalike(US,3%-4%)-340-ROWS  – 09/30 –",active,adset,488,557,1.14139344,"Website applications submitted",2,45.57,91.14,163.62657092,8,11.3925,1.43626571,2025-12-03,2025-12-03
"SEO - DFY - NEW LINES","DFY-BKN437 - Stop Chasing Motivated Seller Leads! | N1-RANKING-WEBSITE, RIDE | 5 - Property investing + Real estate investment association + Real propert Narrow Household income: top 10% (M) 07/09",active,adset,326,357,1.09509202,"Website applications submitted",2,32.465,64.93,181.8767507,7,9.27571429,1.96078431,2025-12-03,2025-12-03
"SEO - DFY - NEW LINES","DFY-BKN435 - Simply Put: new lines  | J&J- BROKEN KITCHEN | Property finder (property) (M) 24/10",active,adset,931,1226,1.31686359,"Website applications submitted",4,18.3525,73.41,59.8776509,27,2.71888889,2.20228385,2025-12-03,2025-12-03
"SEO - DFY - NEW LINES","DFY-BKN423 | PPL Original, new lines | 3 minutes BPCON2021 - N1-RANKING-WEBSITE |  Property-investing+Real estate investment association+Real-property-Narrow-Household-income:top10%-(M)  – 09/30 –",active,adset,313,350,1.11821086,,,,67.23,192.08571429,6,11.205,1.71428571,2025-12-03,2025-12-03
"SEO - DFY - NEW LINES","DFY-BKN436 - Simply Put: new lines  | J Pointing at screen & J in KITCHEN   |1 - Property investing + Real estate Narrow Landlord (M) 24/10 –",active,adset,649,860,1.32511556,,,,62.9,73.13953488,8,7.8625,0.93023256,2025-12-03,2025-12-03
