"Campaign name","Ad set name","Delivery status","Delivery level",Reach,Impressions,Frequency,"Result type",Results,"Cost per result","Amount spent (USD)","CPM (cost per 1,000 impressions)","Link clicks","CPC (cost per link click)","CTR (link click-through rate)","Reporting starts","Reporting ends"
"SEO - DFY - NEW LINES","DFY-BKN420 | I Hear It All The Time | 3 minutes BPCON2021, Alex Review Video |  Lookalike(US,3%-4%)-340-ROWS  – 09/30 –",active,adset,785,886,1.12866242,,,,83.42,94.15349887,7,11.91714286,0.79006772,2025-12-27,2025-12-27
"SEO - DFY - NEW LINES","DFY-BKN423 | PPL Original, new lines | 3 minutes BPCON2021 - N1-RANKING-WEBSITE |  Property-investing+Real estate investment association+Real-property-Narrow-Household-income:top10%-(M)  – 09/30 –",active,adset,457,504,1.10284464,,,,58.96,116.98412698,5,11.792,0.99206349,2025-12-27,2025-12-27
"SEO - DFY - NEW LINES","DFY-BKN435 - Simply Put: new lines  | J&J- BROKEN KITCHEN | Property finder (property) (M) 24/10",active,adset,936,1091,1.16559829,,,,65.38,59.92667278,15,4.35866667,1.37488543,2025-12-27,2025-12-27
"SEO - DFY - NEW LINES","DFY-BKN436 - Simply Put: new lines  | J Pointing at screen & J in KITCHEN   |1 - Property investing + Real estate Narrow Landlord (M) 24/10 –",active,adset,693,815,1.17604618,,,,62.32,76.46625767,6,10.38666667,0.73619632,2025-12-27,2025-12-27
"SEO - DFY - NEW LINES","DFY-BKN437 - Stop Chasing Motivated Seller Leads! | N1-RANKING-WEBSITE, RIDE | 5 - Property investing + Real estate investment association + Real propert Narrow Household income: top 10% (M) 07/09",active,adset,588,618,1.05102041,,,,58.29,94.32038835,8,7.28625,1.29449838,2025-12-27,2025-12-27
