"Campaign name","Ad set name","Delivery status","Delivery level",Reach,Impressions,Frequency,"Result type",Results,"Cost per result","Amount spent (USD)","CPM (cost per 1,000 impressions)","Link clicks","CPC (cost per link click)","CTR (link click-through rate)","Reporting starts","Reporting ends"
"SEO - DFY - NEW LINES","DFY-BKN437 - Stop Chasing Motivated Seller Leads! | N1-RANKING-WEBSITE, RIDE | 5 - Property investing + Real estate investment association + Real propert Narrow Household income: top 10% (M) 07/09",active,adset,326,367,1.12576687,"Website applications submitted",3,27.28666667,81.86,223.05177112,9,9.09555556,2.45231608,2025-12-02,2025-12-02
"SEO - DFY - NEW LINES","DFY-BKN420 | I Hear It All The Time | 3 minutes BPCON2021, Alex Review Video |  Lookalike(US,3%-4%)-340-ROWS  – 09/30 –",active,adset,653,711,1.08882083,,,,104.13,146.4556962,6,17.355,0.84388186,2025-12-02,2025-12-02
"SEO - DFY - NEW LINES","DFY-BKN423 | PPL Original, new lines | 3 minutes BPCON2021 - N1-RANKING-WEBSITE |  Property-investing+Real estate investment association+Real-property-Narrow-Household-income:top10%-(M)  – 09/30 –",active,adset,424,478,1.12735849,,,,73.92,154.64435146,8,9.24,1.67364017,2025-12-02,2025-12-02
"SEO - DFY - NEW LINES","DFY-BKN435 - Simply Put: new lines  | J&J- BROKEN KITCHEN | Property finder (property) (M) 24/10",active,adset,887,1134,1.27846674,,,,76.53,67.48677249,23,3.3273913,2.02821869,2025-12-02,2025-12-02
"SEO - DFY - NEW LINES","DFY-BKN436 - Simply Put: new lines  | J Pointing at screen & J in KITCHEN   |1 - Property investing + Real estate Narrow Landlord (M) 24/10 –",active,adset,588,782,1.32993197,,,,73.64,94.16879795,7,10.52,0.89514066,2025-12-02,2025-12-02
