"Campaign name","Ad set name","Delivery status","Delivery level",Reach,Impressions,Frequency,"Result type",Results,"Cost per result","Amount spent (USD)","CPM (cost per 1,000 impressions)","Link clicks","CPC (cost per link click)","CTR (link click-through rate)","Reporting starts","Reporting ends"
"SEO - DFY - NEW LINES","DFY-BKN437 - Stop Chasing Motivated Seller Leads! | N1-RANKING-WEBSITE, RIDE | 5 - Property investing + Real estate investment association + Real propert Narrow Household income: top 10% (M) 07/09",active,adset,407,446,1.0958231,"Website applications submitted",2,42.81,85.62,191.97309417,6,14.27,1.34529148,2025-12-22,2025-12-22
"SEO - DFY - NEW LINES","DFY-BKN435 - Simply Put: new lines  | J&J- BROKEN KITCHEN | Property finder (property) (M) 24/10",active,adset,977,1223,1.2517912,"Website applications submitted",2,39.01,78.02,63.7939493,20,3.901,1.63532298,2025-12-22,2025-12-22
"SEO - DFY - NEW LINES","DFY-BKN420 | I Hear It All The Time | 3 minutes BPCON2021, Alex Review Video |  Lookalike(US,3%-4%)-340-ROWS  – 09/30 –",active,adset,993,1182,1.19033233,,,,108.91,92.14043993,9,12.10111111,0.76142132,2025-12-22,2025-12-22
"SEO - DFY - NEW LINES","DFY-BKN423 | PPL Original, new lines | 3 minutes BPCON2021 - N1-RANKING-WEBSITE |  Property-investing+Real estate investment association+Real-property-Narrow-Household-income:top10%-(M)  – 09/30 –",active,adset,518,583,1.12548263,,,,80.57,138.19897084,7,11.51,1.20068611,2025-12-22,2025-12-22
"SEO - DFY - NEW LINES","DFY-BKN436 - Simply Put: new lines  | J Pointing at screen & J in KITCHEN   |1 - Property investing + Real estate Narrow Landlord (M) 24/10 –",active,adset,782,910,1.16368286,,,,80.06,87.97802198,6,13.34333333,0.65934066,2025-12-22,2025-12-22
