"Campaign name","Ad set name","Delivery status","Delivery level",Reach,Impressions,Frequency,"Result type",Results,"Cost per result","Amount spent (USD)","CPM (cost per 1,000 impressions)","Link clicks","CPC (cost per link click)","CTR (link click-through rate)","Reporting starts","Reporting ends"
"SEO - DFY - NEW LINES","DFY-BKN420 | I Hear It All The Time | 3 minutes BPCON2021, Alex Review Video |  Lookalike(US,3%-4%)-340-ROWS  – 09/30 –",active,adset,411,434,1.05596107,,,,55.03,126.79723502,1,55.03,0.23041475,2025-12-08,2025-12-08
"SEO - DFY - NEW LINES","DFY-BKN423 | PPL Original, new lines | 3 minutes BPCON2021 - N1-RANKING-WEBSITE |  Property-investing+Real estate investment association+Real-property-Narrow-Household-income:top10%-(M)  – 09/30 –",active,adset,204,216,1.05882353,,,,36.55,169.21296296,6,6.09166667,2.77777778,2025-12-08,2025-12-08
"SEO - DFY - NEW LINES","DFY-BKN435 - Simply Put: new lines  | J&J- BROKEN KITCHEN | Property finder (property) (M) 24/10",active,adset,463,536,1.15766739,,,,35.85,66.88432836,8,4.48125,1.49253731,2025-12-08,2025-12-08
"SEO - DFY - NEW LINES","DFY-BKN436 - Simply Put: new lines  | J Pointing at screen & J in KITCHEN   |1 - Property investing + Real estate Narrow Landlord (M) 24/10 –",active,adset,301,349,1.15946844,,,,41.16,117.93696275,5,8.232,1.43266476,2025-12-08,2025-12-08
"SEO - DFY - NEW LINES","DFY-BKN437 - Stop Chasing Motivated Seller Leads! | N1-RANKING-WEBSITE, RIDE | 5 - Property investing + Real estate investment association + Real propert Narrow Household income: top 10% (M) 07/09",active,adset,165,167,1.01212121,,,,32.05,191.91616766,1,32.05,0.5988024,2025-12-08,2025-12-08
