"Campaign name","Ad set name","Delivery status","Delivery level",Reach,Impressions,Frequency,"Result type",Results,"Cost per result","Amount spent (USD)","CPM (cost per 1,000 impressions)","Link clicks","CPC (cost per link click)","CTR (link click-through rate)","Reporting starts","Reporting ends"
"SEO - DFY - NEW LINES","DFY-BKN423 | PPL Original, new lines | 3 minutes BPCON2021 - N1-RANKING-WEBSITE |  Property-investing+Real estate investment association+Real-property-Narrow-Household-income:top10%-(M)  – 09/30 –",active,adset,526,598,1.13688213,"Website applications submitted",2,44.38,88.76,148.42809365,7,12.68,1.17056856,2025-12-21,2025-12-21
"SEO - DFY - NEW LINES","DFY-BKN437 - Stop Chasing Motivated Seller Leads! | N1-RANKING-WEBSITE, RIDE | 5 - Property investing + Real estate investment association + Real propert Narrow Household income: top 10% (M) 07/09",active,adset,425,455,1.07058824,"Website applications submitted",2,43.125,86.25,189.56043956,7,12.32142857,1.53846154,2025-12-21,2025-12-21
"SEO - DFY - NEW LINES","DFY-BKN420 | I Hear It All The Time | 3 minutes BPCON2021, Alex Review Video |  Lookalike(US,3%-4%)-340-ROWS  – 09/30 –",active,adset,1039,1268,1.22040423,,,,120.52,95.04731861,5,24.104,0.39432177,2025-12-21,2025-12-21
"SEO - DFY - NEW LINES","DFY-BKN435 - Simply Put: new lines  | J&J- BROKEN KITCHEN | Property finder (property) (M) 24/10",active,adset,939,1166,1.24174654,,,,81.7,70.06861063,27,3.02592593,2.31560892,2025-12-21,2025-12-21
"SEO - DFY - NEW LINES","DFY-BKN436 - Simply Put: new lines  | J Pointing at screen & J in KITCHEN   |1 - Property investing + Real estate Narrow Landlord (M) 24/10 –",active,adset,757,859,1.1347424,,,,85.02,98.97555297,9,9.44666667,1.04772992,2025-12-21,2025-12-21
