"Campaign name","Ad set name","Delivery status","Delivery level",Reach,Impressions,Frequency,"Result type",Results,"Cost per result","Amount spent (USD)","CPM (cost per 1,000 impressions)","Link clicks","CPC (cost per link click)","CTR (link click-through rate)","Reporting starts","Reporting ends"
"SEO - DFY - NEW LINES","DFY-BKN435 - Simply Put: new lines  | J&J- BROKEN KITCHEN | Property finder (property) (M) 24/10",active,adset,1301,1613,1.23981553,"Website applications submitted",2,35.015,70.03,43.41599504,17,4.11941176,1.05393676,2025-12-30,2025-12-30
"SEO - DFY - NEW LINES","DFY-BKN420 | I Hear It All The Time | 3 minutes BPCON2021, Alex Review Video |  Lookalike(US,3%-4%)-340-ROWS  – 09/30 –",active,adset,1053,1276,1.21177588,,,,101.32,79.40438871,7,14.47428571,0.54858934,2025-12-30,2025-12-30
"SEO - DFY - NEW LINES","DFY-BKN423 | PPL Original, new lines | 3 minutes BPCON2021 - N1-RANKING-WEBSITE |  Property-investing+Real estate investment association+Real-property-Narrow-Household-income:top10%-(M)  – 09/30 –",active,adset,791,872,1.10240202,,,,67.81,77.76376147,5,13.562,0.5733945,2025-12-30,2025-12-30
"SEO - DFY - NEW LINES","DFY-BKN436 - Simply Put: new lines  | J Pointing at screen & J in KITCHEN   |1 - Property investing + Real estate Narrow Landlord (M) 24/10 –",active,adset,847,1053,1.24321133,,,,60.47,57.42640076,7,8.63857143,0.66476733,2025-12-30,2025-12-30
"SEO - DFY - NEW LINES","DFY-BKN437 - Stop Chasing Motivated Seller Leads! | N1-RANKING-WEBSITE, RIDE | 5 - Property investing + Real estate investment association + Real propert Narrow Household income: top 10% (M) 07/09",active,adset,746,781,1.04691689,,,,59.75,76.50448143,5,11.95,0.64020487,2025-12-30,2025-12-30
