"Campaign name","Ad set name","Delivery status","Delivery level",Reach,Impressions,Frequency,"Result type",Results,"Cost per result","Amount spent (USD)","CPM (cost per 1,000 impressions)","Link clicks","CPC (cost per link click)","CTR (link click-through rate)","Reporting starts","Reporting ends"
"SEO - DFY - NEW LINES","DFY-BKN420 | I Hear It All The Time | 3 minutes BPCON2021, Alex Review Video |  Lookalike(US,3%-4%)-340-ROWS  – 09/30 –",active,adset,785,986,1.25605096,"Website applications submitted",2,46.375,92.75,94.06693712,5,18.55,0.50709939,2025-12-31,2025-12-31
"SEO - DFY - NEW LINES","DFY-BKN423 | PPL Original, new lines | 3 minutes BPCON2021 - N1-RANKING-WEBSITE |  Property-investing+Real estate investment association+Real-property-Narrow-Household-income:top10%-(M)  – 09/30 –",active,adset,480,510,1.0625,,,,66.09,129.58823529,4,16.5225,0.78431373,2025-12-31,2025-12-31
"SEO - DFY - NEW LINES","DFY-BKN435 - Simply Put: new lines  | J&J- BROKEN KITCHEN | Property finder (property) (M) 24/10",active,adset,1294,1487,1.14914992,,,,66.75,44.88903833,19,3.51315789,1.27774042,2025-12-31,2025-12-31
"SEO - DFY - NEW LINES","DFY-BKN436 - Simply Put: new lines  | J Pointing at screen & J in KITCHEN   |1 - Property investing + Real estate Narrow Landlord (M) 24/10 –",active,adset,638,774,1.21316614,,,,65.25,84.30232558,8,8.15625,1.03359173,2025-12-31,2025-12-31
"SEO - DFY - NEW LINES","DFY-BKN437 - Stop Chasing Motivated Seller Leads! | N1-RANKING-WEBSITE, RIDE | 5 - Property investing + Real estate investment association + Real propert Narrow Household income: top 10% (M) 07/09",active,adset,640,674,1.053125,,,,63.27,93.87240356,6,10.545,0.89020772,2025-12-31,2025-12-31
