"Campaign name","Ad set name","Delivery status","Delivery level",Reach,Impressions,Frequency,"Result type",Results,"Cost per result","Amount spent (USD)","CPM (cost per 1,000 impressions)","Link clicks","CPC (cost per link click)","CTR (link click-through rate)","Reporting starts","Reporting ends"
"SEO - DFY - NEW LINES","DFY-BKN435 - Simply Put: new lines  | J&J- BROKEN KITCHEN | Property finder (property) (M) 24/10",active,adset,886,1063,1.19977427,"Website applications submitted",1,69.63,69.63,65.50329257,13,5.35615385,1.2229539,2025-12-25,2025-12-25
"SEO - DFY - NEW LINES","DFY-BKN420 | I Hear It All The Time | 3 minutes BPCON2021, Alex Review Video |  Lookalike(US,3%-4%)-340-ROWS  – 09/30 –",active,adset,700,804,1.14857143,"Website applications submitted",2,49.445,98.89,122.99751244,5,19.778,0.62189055,2025-12-25,2025-12-25
"SEO - DFY - NEW LINES","DFY-BKN423 | PPL Original, new lines | 3 minutes BPCON2021 - N1-RANKING-WEBSITE |  Property-investing+Real estate investment association+Real-property-Narrow-Household-income:top10%-(M)  – 09/30 –",active,adset,454,489,1.07709251,"Website applications submitted",2,33.935,67.87,138.79345603,7,9.69571429,1.43149284,2025-12-25,2025-12-25
"SEO - DFY - NEW LINES","DFY-BKN436 - Simply Put: new lines  | J Pointing at screen & J in KITCHEN   |1 - Property investing + Real estate Narrow Landlord (M) 24/10 –",active,adset,600,760,1.26666667,,,,62.24,81.89473684,5,12.448,0.65789474,2025-12-25,2025-12-25
"SEO - DFY - NEW LINES","DFY-BKN437 - Stop Chasing Motivated Seller Leads! | N1-RANKING-WEBSITE, RIDE | 5 - Property investing + Real estate investment association + Real propert Narrow Household income: top 10% (M) 07/09",active,adset,485,506,1.04329897,,,,66.73,131.87747036,2,33.365,0.39525692,2025-12-25,2025-12-25
