"Campaign name","Ad set name","Delivery status","Delivery level",Reach,Impressions,Frequency,"Result type",Results,"Cost per result","Amount spent (USD)","CPM (cost per 1,000 impressions)","Link clicks","CPC (cost per link click)","CTR (link click-through rate)","Reporting starts","Reporting ends"
"SEO - DFY - NEW LINES","DFY-BKN423 | PPL Original, new lines | 3 minutes BPCON2021 - N1-RANKING-WEBSITE |  Property-investing+Real estate investment association+Real-property-Narrow-Household-income:top10%-(M)  – 09/30 –",active,adset,377,417,1.1061008,"Website applications submitted",2,40.215,80.43,192.87769784,5,16.086,1.19904077,2025-12-15,2025-12-15
"SEO - DFY - NEW LINES","DFY-BKN435 - Simply Put: new lines  | J&J- BROKEN KITCHEN | Property finder (property) (M) 24/10",active,adset,1031,1330,1.2900097,"Website applications submitted",2,34.495,68.99,51.87218045,18,3.83277778,1.35338346,2025-12-15,2025-12-15
"SEO - DFY - NEW LINES","DFY-BKN420 | I Hear It All The Time | 3 minutes BPCON2021, Alex Review Video |  Lookalike(US,3%-4%)-340-ROWS  – 09/30 –",active,adset,820,1035,1.26219512,,,,116.98,113.02415459,5,23.396,0.48309179,2025-12-15,2025-12-15
"SEO - DFY - NEW LINES","DFY-BKN436 - Simply Put: new lines  | J Pointing at screen & J in KITCHEN   |1 - Property investing + Real estate Narrow Landlord (M) 24/10 –",active,adset,754,925,1.22679045,,,,74.22,80.23783784,9,8.24666667,0.97297297,2025-12-15,2025-12-15
"SEO - DFY - NEW LINES","DFY-BKN437 - Stop Chasing Motivated Seller Leads! | N1-RANKING-WEBSITE, RIDE | 5 - Property investing + Real estate investment association + Real propert Narrow Household income: top 10% (M) 07/09",active,adset,464,508,1.09482759,,,,72.51,142.73622047,4,18.1275,0.78740157,2025-12-15,2025-12-15
