Campaign name,Ad set name,Ad name,Delivery status,Delivery level,Reach,Impressions,Frequency,Result type,Results,Cost per result,Amount spent (USD),Starts,Ends,"CPM (cost per 1,000 impressions)",Link clicks,CPC (cost per link click),CTR (link click-through rate),Leads (form),Reporting starts,Reporting ends
SEO - DFY - NEW LINES,"DFY-BKN420 | I Hear It All The Time | 3 minutes BPCON2021, Alex Review Video |  Lookalike(US,3%-4%)-340-ROWS  ? 09/30 ?","DFY-BKN420 | I Hear It All The Time | 3 minutes BPCON2021 |  Lookalike(US,3%-4%)-340-ROWS  ? 09/30",active,ad,104000,28877,2.26220133,Website applications submitted,500,246.28,5000,9/30/2025,Ongoing,93.8154933,186,200,0.64411123,,12/15/2025,12/30/2025
SEO - DFY - NEW LINES,"DFY-BKN437 - Stop Chasing Motivated Seller Leads! | N1-RANKING-WEBSITE, RIDE | 5 - Property investing + Real estate investment association + Real propert Narrow Household income: top 10% (M) 07/09","DFY-BKN437 - Stop Chasing Motivated Seller Leads! | N1-RANKING-WEBSITE, RIDE | 5 - Property investing + Real estate investment association + Real propert Narrow Household income: top 10% (M) 07/09",active,ad,99999,16051,1.59094063,Website applications submitted,16,132.63,2122,10/24/2025,Ongoing,132.203601,187,11.34759358,1.16503645,,12/15/2025,12/30/2025
SEO - DFY - NEW LINES,"DFY-BKN423 | PPL Original, new lines | 3 minutes BPCON2021 - N1-RANKING-WEBSITE |  Property-investing+Real estate investment association+Real-property-Narrow-Household-income:top10%-(M)  ? 09/30 ?","DFY-BKN423 | PPL-Original, new lines | N1-RANKING-WEBSITE - |  Property-investing+Real-estate-investment-association+Real-property-Narrow-Household-income:top10%-(M)  ? 09/30 ?",active,ad,99999,15844,1.64033544,Website applications submitted,18,108.63,1955.34,9/30/2025,Ongoing,123.4120172,181,10.80298343,1.14238829,,12/15/2025,12/30/2025
SEO - DFY - NEW LINES,DFY-BKN436 - Simply Put: new lines  | J Pointing at screen & J in KITCHEN   |1 - Property investing + Real estate Narrow Landlord (M) 24/10 ?,DFY-BKN436 - Simply Put: new lines  | J in KITCHEN   |1 - Property investing + Real estate Narrow Landlord (M) 24/10 ?,active,ad,10727,21823,2.03439918,Website applications submitted,12,143.66,1723.89,10/24/2025,Ongoing,78.99418045,200,8.61945,0.91646428,,12/15/2025,12/30/2025
SEO - DFY - NEW LINES,DFY-BKN435 - Simply Put: new lines  | J&J- BROKEN KITCHEN | Property finder (property) (M) 24/10,DFY-BKN435 - Simply Put: new lines  |  BROKEN KITCHEN | Property finder (property) (M) 24/10,active,ad,13783,25060,1.81818182,Website applications submitted,16,88.72,1419.49,10/24/2025,Ongoing,56.64365523,330,4.30148485,1.31683958,,12/15/2025,12/30/2025
SEO - DFY - NEW LINES,DFY-BKN435 - Simply Put: new lines  | J&J- BROKEN KITCHEN | Property finder (property) (M) 24/10,DFY-BKN435 - Simply Put: new lines  | J&J- | Property finder (property) (M) 24/10,active,ad,6717,13467,2.00491291,Website applications submitted,10,69.38,693.84,10/24/2025,Ongoing,51.52149699,221,3.13954751,1.64104849,,12/15/2025,12/30/2025
SEO - DFY - NEW LINES,DFY-BKN436 - Simply Put: new lines  | J Pointing at screen & J in KITCHEN   |1 - Property investing + Real estate Narrow Landlord (M) 24/10 ?,DFY-BKN436 - Simply Put: new lines  | J Pointing at screen  |1 - Property investing + Real estate Narrow Landlord (M) 24/10 ?,active,ad,2719,4933,1.81426995,Website applications submitted,2,194.1,388.2,10/24/2025,Ongoing,78.69450639,45,8.62666667,0.9122238,,12/15/2025,12/30/2025
SEO - DFY - NEW LINES,"DFY-BKN420 | I Hear It All The Time | 3 minutes BPCON2021, Alex Review Video |  Lookalike(US,3%-4%)-340-ROWS  ? 09/30 ?","DFY-BKN420 | I Hear It All The Time |  Alex-Review-Video |  Lookalike(US,3%-4%)-340-ROWS ? 09/30 ? Copy",active,ad,1914,3763,1.96603971,Website applications submitted,4,83.59,334.34,9/30/2025,Ongoing,88.84932235,25,13.3736,0.66436354,,12/15/2025,12/30/2025
SEO - DFY - NEW LINES,"DFY-BKN423 | PPL Original, new lines | 3 minutes BPCON2021 - N1-RANKING-WEBSITE |  Property-investing+Real estate investment association+Real-property-Narrow-Household-income:top10%-(M)  ? 09/30 ?","DFY-BKN423 | PPL-Original, new lines | N1-RANKING-WEBSITE - |  Property-investing+Real-estate-investment-association+Real-property-Narrow-Household-income:top10%-(M)  ? 09/30 ?",active,ad,1021,1382,1.35357493,,,,153.09,9/30/2025,Ongoing,110.7742402,8,19.13625,0.5788712,,12/16/2025,12/30/2025
